coupling mStop mChi run sign xsec error
312 1700 1100 Run2 plus 0.405 0.001366
312 1700 1200 Run2 plus 0.405 0.001351
312 1700 1300 Run2 plus 0.4051 0.001332
312 1700 1400 Run2 plus 0.4051 0.001326
312 1700 1500 Run2 plus 0.4051 0.001325
312 1700 1600 Run2 plus 0.4052 0.001328
312 1700 1650 Run2 plus 0.4052 0.001327
312 1700 200 Run2 plus 0.405 0.001396
312 1700 300 Run2 plus 0.405 0.001396
312 1700 400 Run2 plus 0.405 0.001395
312 1700 500 Run2 plus 0.405 0.001395
312 1700 600 Run2 plus 0.405 0.001394
312 1700 700 Run2 plus 0.405 0.001392
312 1700 800 Run2 plus 0.405 0.001389
312 1700 900 Run2 plus 0.405 0.001384
312 1750 1000 Run2 plus 0.3405 0.00111
312 1750 1100 Run2 plus 0.3405 0.001102
312 1750 1200 Run2 plus 0.3405 0.001099
312 1750 1300 Run2 plus 0.3405 0.001098
312 1750 1400 Run2 plus 0.3405 0.001097
312 1750 1500 Run2 plus 0.3405 0.001097
312 1750 1600 Run2 plus 0.3406 0.001098
312 1750 1700 Run2 plus 0.3406 0.001099
312 1750 400 Run2 plus 0.3405 0.001125
312 1750 500 Run2 plus 0.3405 0.001125
312 1750 600 Run2 plus 0.3405 0.001124
312 1750 700 Run2 plus 0.3405 0.001123
312 1750 800 Run2 plus 0.3405 0.001121
312 1750 900 Run2 plus 0.3405 0.001117
312 1800 1000 Run2 plus 0.2872 0.0009124
312 1800 100 Run2 plus 0.2872 0.0009156
312 1800 1100 Run2 plus 0.2872 0.000912
312 1800 1200 Run2 plus 0.2872 0.0009116
312 1800 1300 Run2 plus 0.2872 0.0009111
312 1800 1400 Run2 plus 0.2872 0.0009107
312 1800 1500 Run2 plus 0.2872 0.0009102
312 1800 1600 Run2 plus 0.2872 0.0009101
312 1800 1700 Run2 plus 0.2873 0.0009123
312 1800 1750 Run2 plus 0.2873 0.0009114
312 1800 200 Run2 plus 0.2872 0.0009154
312 1800 300 Run2 plus 0.2872 0.0009152
312 1800 400 Run2 plus 0.2872 0.0009149
312 1800 500 Run2 plus 0.2872 0.0009146
312 1800 600 Run2 plus 0.2872 0.0009142
312 1800 700 Run2 plus 0.2872 0.0009138
312 1800 800 Run2 plus 0.2871 0.0009133
312 1800 900 Run2 plus 0.2871 0.0009129
312 1850 1000 Run2 plus 0.243 0.0007588
312 1850 1100 Run2 plus 0.243 0.0007585
312 1850 1200 Run2 plus 0.243 0.0007581
312 1850 1300 Run2 plus 0.243 0.0007577
312 1850 1400 Run2 plus 0.243 0.0007574
312 1850 1500 Run2 plus 0.243 0.000757
312 1850 1600 Run2 plus 0.243 0.0007566
312 1850 1700 Run2 plus 0.243 0.0007575
312 1850 1800 Run2 plus 0.243 0.0007578
312 1850 400 Run2 plus 0.243 0.0007609
312 1850 500 Run2 plus 0.243 0.0007606
312 1850 600 Run2 plus 0.243 0.0007603
312 1850 700 Run2 plus 0.243 0.00076
312 1850 800 Run2 plus 0.2429 0.0007596
312 1850 900 Run2 plus 0.2429 0.0007592
312 1900 1000 Run2 plus 0.2062 0.0006323
312 1900 100 Run2 plus 0.2062 0.0006345
312 1900 1100 Run2 plus 0.2062 0.000632
312 1900 1200 Run2 plus 0.2062 0.0006317
312 1900 1300 Run2 plus 0.2062 0.0006314
312 1900 1400 Run2 plus 0.2062 0.000631
312 1900 1500 Run2 plus 0.2062 0.0006307
312 1900 1600 Run2 plus 0.2062 0.0006304
312 1900 1700 Run2 plus 0.2063 0.0006304
312 1900 1800 Run2 plus 0.2063 0.0006321
312 1900 1850 Run2 plus 0.2063 0.0006312
312 1900 200 Run2 plus 0.2062 0.0006344
312 1900 300 Run2 plus 0.2062 0.0006343
312 1900 400 Run2 plus 0.2062 0.0006341
312 1900 500 Run2 plus 0.2062 0.0006338
312 1900 600 Run2 plus 0.2062 0.0006335
312 1900 700 Run2 plus 0.2062 0.0006332
312 1900 800 Run2 plus 0.2062 0.0006329
312 1900 900 Run2 plus 0.2062 0.0006326
312 1950 1000 Run2 plus 0.1755 0.0005277
312 1950 1100 Run2 plus 0.1755 0.0005274
312 1950 1200 Run2 plus 0.1756 0.0005271
312 1950 1300 Run2 plus 0.1756 0.0005269
312 1950 1400 Run2 plus 0.1756 0.0005266
312 1950 1500 Run2 plus 0.1756 0.0005264
312 1950 1600 Run2 plus 0.1756 0.0005261
312 1950 1700 Run2 plus 0.1756 0.0005258
312 1950 1800 Run2 plus 0.1756 0.0005267
312 1950 1900 Run2 plus 0.1756 0.0005267
312 1950 400 Run2 plus 0.1756 0.0005292
312 1950 500 Run2 plus 0.1756 0.000529
312 1950 600 Run2 plus 0.1756 0.0005288
312 1950 700 Run2 plus 0.1755 0.0005285
312 1950 800 Run2 plus 0.1755 0.0005282
312 1950 900 Run2 plus 0.1755 0.000528
312 2000 1000 Run2 plus 0.1499 0.000441
312 2000 100 Run2 plus 0.1499 0.0004427
312 2000 1100 Run2 plus 0.1499 0.0004408
312 2000 1200 Run2 plus 0.1499 0.0004406
312 2000 1300 Run2 plus 0.1499 0.0004403
312 2000 1400 Run2 plus 0.1499 0.0004401
312 2000 1500 Run2 plus 0.1499 0.0004399
312 2000 1600 Run2 plus 0.1499 0.0004397
312 2000 1700 Run2 plus 0.1499 0.0004394
312 2000 1800 Run2 plus 0.1499 0.0004395
312 2000 1900 Run2 plus 0.1499 0.0004409
312 2000 1950 Run2 plus 0.1499 0.0004402
312 2000 200 Run2 plus 0.1499 0.0004426
312 2000 300 Run2 plus 0.1499 0.0004425
312 2000 400 Run2 plus 0.1499 0.0004423
312 2000 500 Run2 plus 0.1499 0.0004421
312 2000 600 Run2 plus 0.1499 0.000442
312 2000 700 Run2 plus 0.1499 0.0004417
312 2000 800 Run2 plus 0.1499 0.0004415
312 2000 900 Run2 plus 0.1499 0.0004413
312 900 100 Run2 plus 12.47 0.05283
312 900 200 Run2 plus 12.47 0.05285
312 900 300 Run2 plus 12.47 0.05288
312 900 400 Run2 plus 12.47 0.05285
312 900 500 Run2 plus 12.47 0.05269
312 900 600 Run2 plus 12.47 0.05227
312 900 700 Run2 plus 12.48 0.05158
312 900 800 Run2 plus 12.48 0.05084
312 900 850 Run2 plus 12.48 0.05082
312 950 400 Run2 plus 9.563 0.04088
