jetOrdinality,jetPT,jetEta,jetPhi,jetBScore,m3M,m3PT,m3Eta,m3Phi,m4M,m4PT,m4Eta,m4Phi,isStopMatched,isChiMatched,isOther
3,106.8125,-1.44775390625,1.625,0.94091796875,586.147864759,336.493732905,-1.63271518459,1.54928092626,1255.64093339,47.3069959982,-3.45410853597,-1.78902483058,0,1,0
4,32.90625,-1.18579101562,0.659423828125,0.0206756591797,586.147864759,336.493732905,-1.63271518459,1.54928092626,1255.64093339,47.3069959982,-3.45410853597,-1.78902483058,0,0,1
0,686.0,-0.95703125,-0.59619140625,0.71875,386.302298845,595.761644429,-1.12512724845,2.54328686981,1394.79444821,90.2484787294,-3.55808586715,-0.58223322081,0,1,0
1,363.75,-0.640991210938,2.33935546875,0.5546875,386.302298845,595.761644429,-1.12512724845,2.54328686981,1394.79444821,90.2484787294,-3.55808586715,-0.58223322081,1,0,0
2,251.0,-1.32690429688,2.69873046875,0.0104370117188,386.302298845,595.761644429,-1.12512724845,2.54328686981,1394.79444821,90.2484787294,-3.55808586715,-0.58223322081,0,1,0
3,35.8125,-2.013671875,-1.931640625,0.0223083496094,386.302298845,595.761644429,-1.12512724845,2.54328686981,1394.79444821,90.2484787294,-3.55808586715,-0.58223322081,0,1,0
0,511.5,-0.165435791016,-2.22998046875,0.9521484375,526.097113161,621.118222305,-0.885926421029,1.27066971825,1359.20153836,229.209230465,-1.84904389161,2.17201325183,0,1,0
1,405.25,-1.15502929688,1.576171875,0.99609375,526.097113161,621.118222305,-0.885926421029,1.27066971825,1359.20153836,229.209230465,-1.84904389161,2.17201325183,1,0,0
2,182.875,-0.283386230469,0.351501464844,0.0220031738281,526.097113161,621.118222305,-0.885926421029,1.27066971825,1359.20153836,229.209230465,-1.84904389161,2.17201325183,0,1,0
3,125.9375,0.0532989501953,1.45849609375,0.00528335571289,526.097113161,621.118222305,-0.885926421029,1.27066971825,1359.20153836,229.209230465,-1.84904389161,2.17201325183,0,0,1
4,94.625,0.770629882812,-0.620849609375,0.0171813964844,526.097113161,621.118222305,-0.885926421029,1.27066971825,1359.20153836,229.209230465,-1.84904389161,2.17201325183,0,1,0
5,59.875,0.650268554688,-1.54321289062,0.0123901367188,526.097113161,621.118222305,-0.885926421029,1.27066971825,1359.20153836,229.209230465,-1.84904389161,2.17201325183,0,0,1
0,512.5,-0.0484390258789,-2.380859375,0.160522460938,686.094054477,499.647041189,-0.154248302996,0.678333789583,1362.22066292,43.6215689087,-1.58733577595,-1.15008711758,0,1,0
1,374.5,0.603515625,0.404235839844,0.479736328125,686.094054477,499.647041189,-0.154248302996,0.678333789583,1362.22066292,43.6215689087,-1.58733577595,-1.15008711758,1,0,0
